Database Tables Information
Tables Size
Table Name, Size MB
ACT_RU_VARIABLE, .0625 
HIBERNATE_SEQUENCES, .0625 
ACT_GE_PROPERTY, .0625 
ACT_RU_IDENTITYLINK, .0625 
ACT_RU_JOB, .0625 
GROUPS, .0625 
GROUP_CAPABILITY, .0625 
MODEL_RELATION, .0625 
USER_FILTER, .0625 
ACT_RU_TASK, .0625 
MODEL_HISTORY, .0625 
TENANT, .0625 
ACT_GE_BYTEARRAY, .125 
APP_RELATION, .0625 
DATABASECHANGELOGLOCK, .0625 
MODEL, .0625 
PROCESSED_ACTIVITI_EVENTS, .5 
RUNTIME_APP, .0625 
USERS, .0625 
USER_GROUP, .0625 
ACT_EVT_LOG, .1875 
ACT_HI_ACTINST, .0625 
ACT_RE_DEPLOYMENT, .0625 
ACT_RU_EXECUTION, .0625 
ACT_HI_VARINST, .0625 
DATABASECHANGELOG, .0625 
RUNTIME_APP_DEPLOYMENT, .0625 
ACT_HI_TASKINST, .0625 
PERSISTENT_TOKEN, .0625 
ACT_HI_IDENTITYLINK, .0625 
ACT_HI_PROCINST, .0625 
ACT_RE_PROCDEF, .0625 
RUNTIME_APP_DEF, .0625 

Indexes Size
Table Name, Index Name, Index Size MB
HIBERNATE_SEQUENCES, null, .0625 
ACT_RU_VARIABLE, null, .0625 
ACT_RU_IDENTITYLINK, null, .0625 
USER_FILTER, null, .0625 
ACT_GE_PROPERTY, null, .0625 
GROUP_CAPABILITY, null, .0625 
GROUPS, null, .0625 
MODEL_RELATION, null, .0625 
ACT_RU_JOB, null, .0625 
MODEL_HISTORY, null, .0625 
TENANT, null, .0625 
ACT_RU_TASK, null, .0625 
DATABASECHANGELOGLOCK, null, .0625 
APP_RELATION, null, .0625 
USERS, null, .0625 
USER_GROUP, null, .0625 
RUNTIME_APP, null, .0625 
MODEL, null, .0625 
ACT_GE_BYTEARRAY, null, .125 
PROCESSED_ACTIVITI_EVENTS, null, .5 
ACT_RU_EXECUTION, null, .0625 
ACT_HI_ACTINST, null, .0625 
ACT_RE_DEPLOYMENT, null, .0625 
ACT_EVT_LOG, null, .1875 
DATABASECHANGELOG, null, .0625 
RUNTIME_APP_DEPLOYMENT, null, .0625 
ACT_HI_VARINST, null, .0625 
PERSISTENT_TOKEN, null, .0625 
ACT_HI_TASKINST, null, .0625 
ACT_HI_IDENTITYLINK, null, .0625 
ACT_RE_PROCDEF, null, .0625 
RUNTIME_APP_DEF, null, .0625 
ACT_HI_PROCINST, null, .0625 

Groups
Tenant, Group Name, No. of Users
alfresco.com, Superusers, 1
alfresco.com, app-designer-users, 1
alfresco.com, analytics-users, 1

Content by Mimetype
Mimetype, No. of Documents, Size

Content Size
No. of Documents, Size
0,null

Groups
Tenant, Group Name, No. of Users
alfresco.com, Superusers, tenant-admin
alfresco.com, Superusers, upload-license
alfresco.com, Superusers, publish-app-to-dashboard
alfresco.com, Superusers, access-all-models-in-tenant
alfresco.com, Superusers, tenant-admin-api
alfresco.com, Superusers, access-reports
alfresco.com, Superusers, access-editor
alfresco.com, analytics-users, access-reports
alfresco.com, app-designer-users, access-editor

Open Workflows
Tenant, Process Definition, No Occurrences
tenant_1, createTaskListener, 5

Closed Workflows
PTenant, rocess Definition, No Occurrences
tenant_1, createTaskListener, 34

Open Tasks
Tenant, Process Definition, Task Name, No Occurrences
tenant_1, createTaskListener, TASKFMLNAME, 5

Closed Tasks
Tenant, Process Definition, Task Name, No Occurrences
tenant_1, createTaskListener, TASKFMLNAME, 1
tenant_1, createTaskListener, null, 22

Open Single Tasks
Tenant, Process Definition, Task Name, No Occurrences

Closed Single Tasks
Tenant, Process Definition, Task Name, No Occurrences

Long Running Workflows
Tenant, Process Definition, Start Time
tenant_1, createTaskListener, 2018-5-22 13:54:51. 676000000
tenant_1, createTaskListener, 2018-5-22 13:54:53. 389000000
tenant_1, createTaskListener, 2018-5-22 13:54:48. 674000000
tenant_1, createTaskListener, 2018-5-22 14:56:33. 477000000
tenant_1, createTaskListener, 2018-5-22 13:54:54. 796000000

Process Deployments
Tenant, Process Definition, Version, Deployment Time
tenant_1, test500, 1, 2018-5-2 14:44:54. 345000000
tenant_1, createTaskListener, 1, 2018-5-2 9:35:38. 680000000
tenant_1, createTaskListener, 2, 2018-5-2 11:19:18. 286000000
tenant_1, createTaskListener, 3, 2018-5-22 13:54:20. 985000000
